City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,kill devil hills,36.0307,-75.676,28.32000000000005,84,0,3.6,US,1724983383
76,la'ie,21.6477,-157.9253,30.980000000000018,79,14,3.58,US,1724983384
77,oranjemund,-28.55,16.4333,14.439999999999998,27,0,5.26,NA,1724983385
78,jamestown,42.097,-79.2353,20.57000000000005,90,75,2.57,US,1724983233
79,fortuna,40.5982,-124.1573,18.29000000000002,80,0,4.63,US,1724983387
80,atafu village,-8.5421,-172.5159,28.32000000000005,75,23,7.6,TK,1724983388
81,alachua,29.7086,-82.3332,25.400000000000034,66,0,2.06,US,1724983390
82,coquimbo,-29.9533,-71.3436,11.850000000000023,63,100,1.03,CL,1724983210
83,badger,64.8,-147.5333,15.560000000000002,75,92,0.45,US,1724983392
84,shimoda,34.6667,138.95,27.470000000000027,89,100,4.0,JP,1724983393
85,anadyr,64.75,177.4833,7.28000000000003,93,100,3.0,RU,1724983273
86,hadibu,12.65,54.0333,26.5,82,59,8.86,YE,1724983395
87,iqaluit,63.7506,-68.5145,6.850000000000023,93,100,4.63,CA,1724983304
88,yeppoon,-23.1333,150.7333,24.900000000000034,58,0,4.08,AU,1724983397
89,shingu,33.7333,135.9833,27.470000000000027,93,100,2.89,JP,1724983398
90,biltine,14.5333,20.9167,24.980000000000018,83,100,2.5,TD,1724983399
91,karacoban,39.3492,42.1124,18.03000000000003,54,15,1.72,TR,1724983400
92,arraial do cabo,-22.9661,-42.0278,18.980000000000018,94,0,4.12,BR,1724983401
93,ust-nera,64.5667,143.2,5.430000000000007,99,100,0.7,RU,1724983403
94,albany,42.6001,-73.9662,19.210000000000036,87,24,1.39,US,1724983210
95,sabang,5.8933,95.3214,27.670000000000016,74,100,5.28,ID,1724983405
96,reggane,26.7158,0.1714,36.22000000000003,22,98,5.93,DZ,1724983153
97,howard springs,-12.497,131.047,31.04000000000002,57,98,1.41,AU,1724983407
98,petropavlovsk-kamchatsky,53.0452,158.6483,22.33000000000004,49,0,3.0,RU,1724983408
99,umm ruwaba,12.9061,31.2158,25.900000000000034,76,98,1.55,SD,1724983409
100,ribeira grande,38.5167,-28.7,22.100000000000023,85,100,2.68,PT,1724983410
101,kalach,50.4258,41.0261,17.220000000000027,37,48,2.68,RU,1724983411
102,taco pozo,-25.6167,-63.2833,18.390000000000043,41,100,5.09,AR,1724983412
103,yemva,62.59,50.8594,9.110000000000014,98,31,2.37,RU,1724983413
104,coron,11.9986,120.2043,26.720000000000027,91,100,2.13,PH,1724983415
105,manismata,-2.4667,111.0333,26.129999999999995,80,100,1.71,ID,1724983416
106,avarua,-21.2078,-159.775,25.03000000000003,73,20,3.6,CK,1724983417
107,cobh,51.8572,-8.2992,11.730000000000018,90,75,3.6,IE,1724983418
108,turkmenbasy,40.0222,52.9552,22.430000000000007,28,0,6.17,TM,1724983419
109,pisco,-13.7,-76.2167,17.03000000000003,77,21,2.57,PE,1724983420
110,kerikeri,-35.2268,173.9474,18.350000000000023,51,45,2.55,NZ,1724983421
111,nuuk,64.1835,-51.7216,2.7100000000000364,93,100,2.88,GL,1724983214
112,tidjikja,18.5564,-11.4271,31.24000000000001,56,86,6.21,MR,1724983423
113,navia,43.5354,-6.7194,18.910000000000025,99,100,2.39,ES,1724983424
114,afaahiti,-17.75,-149.2833,24.55000000000001,85,13,3.69,PF,1724983425
115,tura,25.5198,90.2201,28.100000000000023,79,87,0.49,IN,1724983427
116,gao,16.6362,1.637,30.260000000000048,54,70,3.99,ML,1724983428
117,nishinoomote,30.7333,131.0,26.310000000000002,94,75,11.32,JP,1724983429
118,ponta delgada,37.7333,-25.6667,22.400000000000034,73,40,1.03,PT,1724983430
119,basoko,1.2391,23.616,21.670000000000016,97,100,2.4,CD,1724983431
120,sungai raya,0.7,108.9,28.470000000000027,72,100,0.78,ID,1724983432
121,anantapur,14.6833,77.6,25.700000000000045,73,96,7.08,IN,1724983433
122,oruro,-17.9833,-67.15,7.110000000000014,44,23,1.68,BO,1724983434
123,laguna de perlas,12.3429,-83.6712,27.27000000000004,86,100,4.09,NI,1724983435
